Sourah Arabic,Sourah Number,Verse Number,Verse Diac,Verse,Label
سورة النحل,16,37,إِن تَحۡرِصۡ عَلَىٰ هُدَىٰهُمۡ فَإِنَّ ٱللَّهَ لَا يَهۡدِي مَن يُضِلُّۖ وَمَا لَهُم مِّن نَّٰصِرِينَ,ان تحرص علىٰ هدىٰهم فان الله لا يهدي من يضل وما لهم من نٰصرين,anger
سورة الاحقاف,46,6,وَإِذَا حُشِرَ ٱلنَّاسُ كَانُواْ لَهُمۡ أَعۡدَآءٗ وَكَانُواْ بِعِبَادَتِهِمۡ كَٰفِرِينَ,واذا حشر الناس كانوا لهم اعداء وكانوا بعبادتهم كٰفرين,fear
سورة طه,20,16,فَلَا يَصُدَّنَّكَ عَنۡهَا مَن لَّا يُؤۡمِنُ بِهَا وَٱتَّبَعَ هَوَىٰهُ فَتَرۡدَىٰ,فلا يصدنك عنها من لا يؤمن بها واتبع هوىٰه فتردىٰ,anger
سورة الصافات,37,116,وَنَصَرۡنَٰهُمۡ فَكَانُواْ هُمُ ٱلۡغَٰلِبِينَ,ونصرنٰهم فكانوا هم الغٰلبين,joy
سورة الانشقاق,84,11,فَسَوۡفَ يَدۡعُواْ ثُبُورٗا,فسوف يدعوا ثبورا,fear
سورة الانعام,6,4,وَمَا تَأۡتِيهِم مِّنۡ ءَايَةٖ مِّنۡ ءَايَٰتِ رَبِّهِمۡ إِلَّا كَانُواْ عَنۡهَا مُعۡرِضِينَ,وما تاتيهم من ءاية من ءايٰت ربهم الا كانوا عنها معرضين,anger
سورة ال عمران,3,128,لَيۡسَ لَكَ مِنَ ٱلۡأَمۡرِ شَيۡءٌ أَوۡ يَتُوبَ عَلَيۡهِمۡ أَوۡ يُعَذِّبَهُمۡ فَإِنَّهُمۡ ظَٰلِمُونَ,ليس لك من الامر شيء او يتوب عليهم او يعذبهم فانهم ظٰلمون,sadness
سورة الكهف,18,72,قَالَ أَلَمۡ أَقُلۡ إِنَّكَ لَن تَسۡتَطِيعَ مَعِيَ صَبۡرٗا,قال الم اقل انك لن تستطيع معي صبرا,sadness
سورة العنكبوت,29,18,وَإِن تُكَذِّبُواْ فَقَدۡ كَذَّبَ أُمَمٞ مِّن قَبۡلِكُمۡۖ وَمَا عَلَى ٱلرَّسُولِ إِلَّا ٱلۡبَلَٰغُ ٱلۡمُبِينُ,وان تكذبوا فقد كذب امم من قبلكم وما على الرسول الا البلٰغ المبين,sadness
سورة الحاقة,69,34,وَلَا يَحُضُّ عَلَىٰ طَعَامِ ٱلۡمِسۡكِينِ,ولا يحض علىٰ طعام المسكين,anger
سورة الصافات,37,69,إِنَّهُمۡ أَلۡفَوۡاْ ءَابَآءَهُمۡ ضَآلِّينَ,انهم الفوا ءاباءهم ضالين,anger
سورة هود,11,39,فَسَوۡفَ تَعۡلَمُونَ مَن يَأۡتِيهِ عَذَابٞ يُخۡزِيهِ وَيَحِلُّ عَلَيۡهِ عَذَابٞ مُّقِيمٌ,فسوف تعلمون من ياتيه عذاب يخزيه ويحل عليه عذاب مقيم,fear
سورة المعارج,70,38,أَيَطۡمَعُ كُلُّ ٱمۡرِيٕٖ مِّنۡهُمۡ أَن يُدۡخَلَ جَنَّةَ نَعِيمٖ,ايطمع كل امري منهم ان يدخل جنة نعيم,sadness
سورة الزمر,39,66,بَلِ ٱللَّهَ فَٱعۡبُدۡ وَكُن مِّنَ ٱلشَّٰكِرِينَ,بل الله فاعبد وكن من الشٰكرين,fear
سورة الحاقة,69,29,هَلَكَ عَنِّي سُلۡطَٰنِيَهۡ,هلك عني سلطٰنيه,fear
سورة الاعلىٰ,87,9,فَذَكِّرۡ إِن نَّفَعَتِ ٱلذِّكۡرَىٰ,فذكر ان نفعت الذكرىٰ,joy
سورة الفجر,89,25,فَيَوۡمَئِذٖ لَّا يُعَذِّبُ عَذَابَهُۥٓ أَحَدٞ,فيومئذ لا يعذب عذابه احد,fear
سورة فصلت,41,26,وَقَالَ ٱلَّذِينَ كَفَرُواْ لَا تَسۡمَعُواْ لِهَٰذَا ٱلۡقُرۡءَانِ وَٱلۡغَوۡاْ فِيهِ لَعَلَّكُمۡ تَغۡلِبُونَ,وقال الذين كفروا لا تسمعوا لهٰذا القرءان والغوا فيه لعلكم تغلبون,anger
سورة الدخان,44,42,إِلَّا مَن رَّحِمَ ٱللَّهُۚ إِنَّهُۥ هُوَ ٱلۡعَزِيزُ ٱلرَّحِيمُ,الا من رحم الله انه هو العزيز الرحيم,joy
سورة العاديات,100,11,إِنَّ رَبَّهُم بِهِمۡ يَوۡمَئِذٖ لَّخَبِيرُۢ,ان ربهم بهم يومئذ لخبير,fear
سورة الصافات,37,89,فَقَالَ إِنِّي سَقِيمٞ,فقال اني سقيم,fear
سورة الاعراف,7,170,وَٱلَّذِينَ يُمَسِّكُونَ بِٱلۡكِتَٰبِ وَأَقَامُواْ ٱلصَّلَوٰةَ إِنَّا لَا نُضِيعُ أَجۡرَ ٱلۡمُصۡلِحِينَ,والذين يمسكون بالكتٰب واقاموا الصلوٰة انا لا نضيع اجر المصلحين,joy
سورة الانعام,6,79,إِنِّي وَجَّهۡتُ وَجۡهِيَ لِلَّذِي فَطَرَ ٱلسَّمَٰوَٰتِ وَٱلۡأَرۡضَ حَنِيفٗاۖ وَمَآ أَنَا۠ مِنَ ٱلۡمُشۡرِكِينَ,اني وجهت وجهي للذي فطر السمٰوٰت والارض حنيفا وما انا من المشركين,sadness
سورة القمر,54,55,فِي مَقۡعَدِ صِدۡقٍ عِندَ مَلِيكٖ مُّقۡتَدِرِۭ,في مقعد صدق عند مليك مقتدر,joy
سورة غافر,40,12,ذَٰلِكُم بِأَنَّهُۥٓ إِذَا دُعِيَ ٱللَّهُ وَحۡدَهُۥ كَفَرۡتُمۡ وَإِن يُشۡرَكۡ بِهِۦ تُؤۡمِنُواْۚ فَٱلۡحُكۡمُ لِلَّهِ ٱلۡعَلِيِّ ٱلۡكَبِيرِ,ذٰلكم بانه اذا دعي الله وحده كفرتم وان يشرك به تؤمنوا فالحكم لله العلي الكبير,anger
سورة الدخان,44,3,إِنَّآ أَنزَلۡنَٰهُ فِي لَيۡلَةٖ مُّبَٰرَكَةٍۚ إِنَّا كُنَّا مُنذِرِينَ,انا انزلنٰه في ليلة مبٰركة انا كنا منذرين,anger
سورة الغاشية,88,7,لَّا يُسۡمِنُ وَلَا يُغۡنِي مِن جُوعٖ,لا يسمن ولا يغني من جوع,fear
سورة هود,11,71,وَٱمۡرَأَتُهُۥ قَآئِمَةٞ فَضَحِكَتۡ فَبَشَّرۡنَٰهَا بِإِسۡحَٰقَ وَمِن وَرَآءِ إِسۡحَٰقَ يَعۡقُوبَ,وامراته قائمة فضحكت فبشرنٰها باسحٰق ومن وراء اسحٰق يعقوب,joy
سورة الانعام,6,88,ذَٰلِكَ هُدَى ٱللَّهِ يَهۡدِي بِهِۦ مَن يَشَآءُ مِنۡ عِبَادِهِۦۚ وَلَوۡ أَشۡرَكُواْ لَحَبِطَ عَنۡهُم مَّا كَانُواْ يَعۡمَلُونَ,ذٰلك هدى الله يهدي به من يشاء من عباده ولو اشركوا لحبط عنهم ما كانوا يعملون,anger
سورة طه,20,102,يَوۡمَ يُنفَخُ فِي ٱلصُّورِۚ وَنَحۡشُرُ ٱلۡمُجۡرِمِينَ يَوۡمَئِذٖ زُرۡقٗا,يوم ينفخ في الصور ونحشر المجرمين يومئذ زرقا,fear
سورة الصافات,37,173,وَإِنَّ جُندَنَا لَهُمُ ٱلۡغَٰلِبُونَ,وان جندنا لهم الغٰلبون,joy
سورة المنافقون,63,10,وَأَنفِقُواْ مِن مَّا رَزَقۡنَٰكُم مِّن قَبۡلِ أَن يَأۡتِيَ أَحَدَكُمُ ٱلۡمَوۡتُ فَيَقُولَ رَبِّ لَوۡلَآ أَخَّرۡتَنِيٓ إِلَىٰٓ أَجَلٖ قَرِيبٖ فَأَصَّدَّقَ وَأَكُن مِّنَ ٱلصَّٰلِحِينَ,وانفقوا من ما رزقنٰكم من قبل ان ياتي احدكم الموت فيقول رب لولا اخرتني الىٰ اجل قريب فاصدق واكن من الصٰلحين,sadness
سورة طه,20,34,وَنَذۡكُرَكَ كَثِيرًا,ونذكرك كثيرا,joy
سورة يس,36,39,وَٱلۡقَمَرَ قَدَّرۡنَٰهُ مَنَازِلَ حَتَّىٰ عَادَ كَٱلۡعُرۡجُونِ ٱلۡقَدِيمِ,والقمر قدرنٰه منازل حتىٰ عاد كالعرجون القديم,joy
سورة يوسف,12,108,قُلۡ هَٰذِهِۦ سَبِيلِيٓ أَدۡعُوٓاْ إِلَى ٱللَّهِۚ عَلَىٰ بَصِيرَةٍ أَنَا۠ وَمَنِ ٱتَّبَعَنِيۖ وَسُبۡحَٰنَ ٱللَّهِ وَمَآ أَنَا۠ مِنَ ٱلۡمُشۡرِكِينَ,قل هٰذه سبيلي ادعوا الى الله علىٰ بصيرة انا ومن اتبعني وسبحٰن الله وما انا من المشركين,joy
سورة طه,20,125,قَالَ رَبِّ لِمَ حَشَرۡتَنِيٓ أَعۡمَىٰ وَقَدۡ كُنتُ بَصِيرٗا,قال رب لم حشرتني اعمىٰ وقد كنت بصيرا,sadness
سورة محمد,47,28,ذَٰلِكَ بِأَنَّهُمُ ٱتَّبَعُواْ مَآ أَسۡخَطَ ٱللَّهَ وَكَرِهُواْ رِضۡوَٰنَهُۥ فَأَحۡبَطَ أَعۡمَٰلَهُمۡ,ذٰلك بانهم اتبعوا ما اسخط الله وكرهوا رضوٰنه فاحبط اعمٰلهم,anger
سورة الدخان,44,59,فَٱرۡتَقِبۡ إِنَّهُم مُّرۡتَقِبُونَ,فارتقب انهم مرتقبون,fear
سورة الشعراء,26,170,فَنَجَّيۡنَٰهُ وَأَهۡلَهُۥٓ أَجۡمَعِينَ,فنجينٰه واهله اجمعين,joy
سورة ق,50,10,وَٱلنَّخۡلَ بَاسِقَٰتٖ لَّهَا طَلۡعٞ نَّضِيدٞ,والنخل باسقٰت لها طلع نضيد,joy
سورة الزمر,39,11,قُلۡ إِنِّيٓ أُمِرۡتُ أَنۡ أَعۡبُدَ ٱللَّهَ مُخۡلِصٗا لَّهُ ٱلدِّينَ,قل اني امرت ان اعبد الله مخلصا له الدين,anger
سورة طه,20,68,قُلۡنَا لَا تَخَفۡ إِنَّكَ أَنتَ ٱلۡأَعۡلَىٰ,قلنا لا تخف انك انت الاعلىٰ,joy
سورة الغاشية,88,22,لَّسۡتَ عَلَيۡهِم بِمُصَيۡطِرٍ,لست عليهم بمصيطر,sadness
سورة النازعات,79,45,إِنَّمَآ أَنتَ مُنذِرُ مَن يَخۡشَىٰهَا,انما انت منذر من يخشىٰها,fear
سورة الزخرف,43,72,وَتِلۡكَ ٱلۡجَنَّةُ ٱلَّتِيٓ أُورِثۡتُمُوهَا بِمَا كُنتُمۡ تَعۡمَلُونَ,وتلك الجنة التي اورثتموها بما كنتم تعملون,joy
سورة الزخرف,43,82,سُبۡحَٰنَ رَبِّ ٱلسَّمَٰوَٰتِ وَٱلۡأَرۡضِ رَبِّ ٱلۡعَرۡشِ عَمَّا يَصِفُونَ,سبحٰن رب السمٰوٰت والارض رب العرش عما يصفون,fear
سورة المؤمنون,23,68,أَفَلَمۡ يَدَّبَّرُواْ ٱلۡقَوۡلَ أَمۡ جَآءَهُم مَّا لَمۡ يَأۡتِ ءَابَآءَهُمُ ٱلۡأَوَّلِينَ,افلم يدبروا القول ام جاءهم ما لم يات ءاباءهم الاولين,anger
سورة ص,38,14,إِن كُلٌّ إِلَّا كَذَّبَ ٱلرُّسُلَ فَحَقَّ عِقَابِ,ان كل الا كذب الرسل فحق عقاب,sadness
سورة الانشقاق,84,23,وَٱللَّهُ أَعۡلَمُ بِمَا يُوعُونَ,والله اعلم بما يوعون,fear
سورة القيامة,75,22,وُجُوهٞ يَوۡمَئِذٖ نَّاضِرَةٌ,وجوه يومئذ ناضرة,joy
سورة الزخرف,43,29,بَلۡ مَتَّعۡتُ هَٰٓؤُلَآءِ وَءَابَآءَهُمۡ حَتَّىٰ جَآءَهُمُ ٱلۡحَقُّ وَرَسُولٞ مُّبِينٞ,بل متعت هٰؤلاء وءاباءهم حتىٰ جاءهم الحق ورسول مبين,fear
سورة الفجر,89,30,وَٱدۡخُلِي جَنَّتِي,وادخلي جنتي,joy
سورة الاعراف,7,124,لَأُقَطِّعَنَّ أَيۡدِيَكُمۡ وَأَرۡجُلَكُم مِّنۡ خِلَٰفٖ ثُمَّ لَأُصَلِّبَنَّكُمۡ أَجۡمَعِينَ,لاقطعن ايديكم وارجلكم من خلٰف ثم لاصلبنكم اجمعين,anger
سورة النبا,78,19,وَفُتِحَتِ ٱلسَّمَآءُ فَكَانَتۡ أَبۡوَٰبٗا,وفتحت السماء فكانت ابوٰبا,fear
سورة عبس,80,11,كَلَّآ إِنَّهَا تَذۡكِرَةٞ,كلا انها تذكرة,fear
سورة النحل,16,64,وَمَآ أَنزَلۡنَا عَلَيۡكَ ٱلۡكِتَٰبَ إِلَّا لِتُبَيِّنَ لَهُمُ ٱلَّذِي ٱخۡتَلَفُواْ فِيهِ وَهُدٗى وَرَحۡمَةٗ لِّقَوۡمٖ يُؤۡمِنُونَ,وما انزلنا عليك الكتٰب الا لتبين لهم الذي اختلفوا فيه وهدى ورحمة لقوم يؤمنون,joy
سورة يس,36,68,وَمَن نُّعَمِّرۡهُ نُنَكِّسۡهُ فِي ٱلۡخَلۡقِۚ أَفَلَا يَعۡقِلُونَ,ومن نعمره ننكسه في الخلق افلا يعقلون,sadness
سورة عبس,80,31,وَفَٰكِهَةٗ وَأَبّٗا,وفٰكهة وابا,joy
سورة الطور,52,16,ٱصۡلَوۡهَا فَٱصۡبِرُوٓاْ أَوۡ لَا تَصۡبِرُواْ سَوَآءٌ عَلَيۡكُمۡۖ إِنَّمَا تُجۡزَوۡنَ مَا كُنتُمۡ تَعۡمَلُونَ,اصلوها فاصبروا او لا تصبروا سواء عليكم انما تجزون ما كنتم تعملون,fear
سورة الطور,52,48,وَٱصۡبِرۡ لِحُكۡمِ رَبِّكَ فَإِنَّكَ بِأَعۡيُنِنَاۖ وَسَبِّحۡ بِحَمۡدِ رَبِّكَ حِينَ تَقُومُ,واصبر لحكم ربك فانك باعيننا وسبح بحمد ربك حين تقوم,joy
سورة الاسراء,17,13,وَكُلَّ إِنسَٰنٍ أَلۡزَمۡنَٰهُ طَٰٓئِرَهُۥ فِي عُنُقِهِۦۖ وَنُخۡرِجُ لَهُۥ يَوۡمَ ٱلۡقِيَٰمَةِ كِتَٰبٗا يَلۡقَىٰهُ مَنشُورًا,وكل انسٰن الزمنٰه طٰئره في عنقه ونخرج له يوم القيٰمة كتٰبا يلقىٰه منشورا,fear
سورة ص,38,88,وَلَتَعۡلَمُنَّ نَبَأَهُۥ بَعۡدَ حِينِۭ,ولتعلمن نباه بعد حين,fear
سورة يوسف,12,49,ثُمَّ يَأۡتِي مِنۢ بَعۡدِ ذَٰلِكَ عَامٞ فِيهِ يُغَاثُ ٱلنَّاسُ وَفِيهِ يَعۡصِرُونَ,ثم ياتي من بعد ذٰلك عام فيه يغاث الناس وفيه يعصرون,anger
سورة المدثر,74,42,مَا سَلَكَكُمۡ فِي سَقَرَ,ما سلككم في سقر,anger
سورة الشعراء,26,62,قَالَ كَلَّآۖ إِنَّ مَعِيَ رَبِّي سَيَهۡدِينِ,قال كلا ان معي ربي سيهدين,fear
سورة ص,38,33,رُدُّوهَا عَلَيَّۖ فَطَفِقَ مَسۡحَۢا بِٱلسُّوقِ وَٱلۡأَعۡنَاقِ,ردوها علي فطفق مسحا بالسوق والاعناق,anger
سورة الحاقة,69,51,وَإِنَّهُۥ لَحَقُّ ٱلۡيَقِينِ,وانه لحق اليقين,joy
سورة يونس,10,8,أُوْلَٰٓئِكَ مَأۡوَىٰهُمُ ٱلنَّارُ بِمَا كَانُواْ يَكۡسِبُونَ,اولٰئك ماوىٰهم النار بما كانوا يكسبون,anger
سورة الاسراء,17,52,يَوۡمَ يَدۡعُوكُمۡ فَتَسۡتَجِيبُونَ بِحَمۡدِهِۦ وَتَظُنُّونَ إِن لَّبِثۡتُمۡ إِلَّا قَلِيلٗا,يوم يدعوكم فتستجيبون بحمده وتظنون ان لبثتم الا قليلا,fear
سورة المائدة,5,50,أَفَحُكۡمَ ٱلۡجَٰهِلِيَّةِ يَبۡغُونَۚ وَمَنۡ أَحۡسَنُ مِنَ ٱللَّهِ حُكۡمٗا لِّقَوۡمٖ يُوقِنُونَ,افحكم الجٰهلية يبغون ومن احسن من الله حكما لقوم يوقنون,fear
سورة الاعراف,7,16,قَالَ فَبِمَآ أَغۡوَيۡتَنِي لَأَقۡعُدَنَّ لَهُمۡ صِرَٰطَكَ ٱلۡمُسۡتَقِيمَ,قال فبما اغويتني لاقعدن لهم صرٰطك المستقيم,anger
سورة الشورىٰ,42,46,وَمَا كَانَ لَهُم مِّنۡ أَوۡلِيَآءَ يَنصُرُونَهُم مِّن دُونِ ٱللَّهِۗ وَمَن يُضۡلِلِ ٱللَّهُ فَمَا لَهُۥ مِن سَبِيلٍ,وما كان لهم من اولياء ينصرونهم من دون الله ومن يضلل الله فما له من سبيل,anger
سورة المدثر,74,26,سَأُصۡلِيهِ سَقَرَ,ساصليه سقر,fear
سورة الزلزلة,99,3,وَقَالَ ٱلۡإِنسَٰنُ مَا لَهَا,وقال الانسٰن ما لها,fear
سورة الاسراء,17,17,وَكَمۡ أَهۡلَكۡنَا مِنَ ٱلۡقُرُونِ مِنۢ بَعۡدِ نُوحٖۗ وَكَفَىٰ بِرَبِّكَ بِذُنُوبِ عِبَادِهِۦ خَبِيرَۢا بَصِيرٗا,وكم اهلكنا من القرون من بعد نوح وكفىٰ بربك بذنوب عباده خبيرا بصيرا,anger
